ID,Deck Title,Commander,Ratings 2022-11-20,White,Blue,Black,Red,Green,Notes
0,Painbow,Jared Carthalion,4,1,1,1,1,1,
1,Legends' Legacy,"Dihada, Binder of Wills",5,1,0,1,1,0,
2,Planar Portal,"Prosper, Tome-Bound",3,0,0,1,1,0,
3,Aura of Courage,"Galea, Kindler of Hope",4,1,1,0,0,1,
4,Dungeons of Death,Sefris of the Hidden Ways,2,1,1,1,0,0,
5,Draconic Rage,"Vrondiss, Rage of Ancients",4,0,0,0,1,1,
6,Mind Flayarrrs,Captain N'ghathrod,5,0,1,1,0,0,
7,Party Time,"Burakos, Party Leader",5,1,0,1,0,0,
8,Obscura Operation,"Kamiz, Obscura Oculus",3,1,1,1,0,0,
9,Riveteer Rampage,"Henzie ""Toolbox"" Torre",4,0,0,1,1,1,
10,Maestros Massacre,"Anhelo, the Painter",1,0,1,1,1,0,Upgraded 2022-11-19
11,Faceless Menace,"Kadena, Slinking Sorcerer",3,0,1,1,0,1,
12,Vampiric Bloodline,"Strefan, Maurer Progenitor",2,0,0,1,1,0,
13,Mishra's Burnished Banner,"Mishra, Eminent One",3,0,1,1,1,0,
14,Urza's Iron Alliance,"Urza, Chief Artificer",4,1,1,1,0,0,
15,Undead Unleashed,"Wilhelt, the Rotcleaver",3,0,1,1,0,0,
16,Lorehord Legacies,"Osgir, the Reconstructor",2,1,0,0,1,0,Upgraded 2022-11-19
17,Arm for Battle,"Wyleth, Soul of Steel",2,1,0,0,1,0,
18,Spirit Squadron,"Millicent, Restless Revenant",3,1,1,0,0,0,
